Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF","C_0805_2012Metric",64.490000,-57.775000,0.000000,top
"C2","10µF","C_0805_2012Metric",53.950000,-45.000000,180.000000,top
"C3","10µF","C_0805_2012Metric",68.000000,-41.000000,0.000000,top
"C4","0.1µF","C_0805_2012Metric",22.950000,-57.000000,180.000000,top
"C5","10µF","C_0805_2012Metric",23.000000,-60.000000,180.000000,top
"D2","SS14","D_SMA",43.000000,-62.000000,90.000000,top
"D3","SS14","D_SMA",61.000000,-35.000000,180.000000,top
"D4","SS14","D_SMA",46.000000,-37.000000,-90.000000,top
"DC1","DC-005 5.5-2.0MM","DC-IN-TH_DC-5520-1",68.525000,-30.600000,-90.000000,top
"F1","Fuse","Fuse_1206_3216Metric",71.000000,-56.000000,0.000000,top
"J2","Fan1","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",45.120000,-28.100000,180.000000,top
"J3","Fan2","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal",58.035000,-28.100000,180.000000,top
"J4","Temp Sensor","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",74.900000,-45.000000,90.000000,top
"J5","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",29.835000,-23.700000,180.000000,top
"L1","100µH","IND-SMD_L7.8-W7.0-A",61.000000,-42.000000,180.000000,top
"LED1","WS2815B-V1","LED-SMD_6P-L5.0-W5.0-P1.60-LS5.4-BR",33.412500,-67.000000,0.000000,top
"LED2","WS2815B-V1","LED-SMD_6P-L5.0-W5.0-P1.60-LS5.4-BR",50.000000,-67.000000,0.000000,top
"LED3","WS2815B-V1","LED-SMD_6P-L5.0-W5.0-P1.60-LS5.4-BR",66.587500,-67.000000,0.000000,top
"LS1","CEM-1203_42_","CUI_CEM-1203_42_",44.750000,-51.000000,180.000000,top
"PS1","R-78K3.3-0.5","CONV_R-78K3.3-0.5",62.000000,-51.000000,0.000000,top
"Q1","2N7002","SOT-23",42.000000,-36.000000,90.000000,top
"Q2","2N7002","SOT-23",55.000000,-36.000000,90.000000,top
"Q3","2N7002","SOT-23",38.000000,-61.000000,90.000000,top
"R1","10kΩ","R_0805_2012Metric",27.000000,-57.000000,0.000000,top
"R2","4k7Ω","R_0805_2012Metric",31.000000,-57.000000,180.000000,top
"R3","5k1Ω","R_0805_2012Metric",26.000000,-30.000000,180.000000,top
"R4","5k1Ω","R_0805_2012Metric",26.000000,-32.000000,0.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",27.000000,-45.000000,90.000000,top
